index,cliente,latitud,longitud,fin_visita,order
16628,20,-34.6324107297718,-58.4460500239663,2024-05-23 16:16:00,296
585,70,-34.6456335821045,-58.5026537122674,2024-05-23 16:52:00,297
26788,70,-34.6439700674432,-58.5115771859974,2024-05-23 16:52:00,298
335,70,-34.6355233101023,-58.4886028715211,2024-05-23 16:52:00,299
116,70,-34.6430956498353,-58.5042755237086,2024-05-23 16:52:00,300
18387,70,-34.6432460699655,-58.5021385405113,2024-05-23 16:52:00,301
377,70,-34.6302850344427,-58.4937740928938,2024-05-23 16:52:00,302
19135,70,-34.6383549306029,-58.505163143954,2024-05-23 16:52:00,303
26773,70,-34.6541768792696,-58.5203673551278,2024-05-23 16:52:00,304
14461,70,-34.6254692635785,-58.5110761402696,2024-05-23 16:52:00,305
15600,70,-34.6383030734848,-58.5048448174234,2024-05-23 16:52:00,306
574,70,-34.6419352734195,-58.5091423278244,2024-05-23 16:52:00,307
258,70,-34.6318441,-58.501922,2024-05-23 16:52:00,308
11846,70,-34.6447984667007,-58.5087100232243,2024-05-23 16:52:00,309
24957,70,-34.6454609013998,-58.5093550904128,2024-05-23 16:52:00,310
765,70,-34.6248054504394,-58.5113372802734,2024-05-23 16:52:00,311
1040,70,-34.6322874804543,-58.499201853998,2024-05-23 16:52:00,312
11904,70,-34.6337309243485,-58.4818215144658,2024-05-23 16:52:00,313
15739,70,-34.632996457287,-58.4821687706749,2024-05-23 16:52:00,314
605,70,-34.6387034386902,-58.5081127746724,2024-05-23 16:52:00,315
974,70,-34.6315706181451,-58.4966933132972,2024-05-23 16:52:00,316
5932,70,-34.6456604003906,-58.5162696838379,2024-05-23 16:52:00,317
23389,70,-34.6435459470517,-58.5126985796027,2024-05-23 16:52:00,318
747,70,-34.6347490871924,-58.4963847916958,2024-05-23 16:52:00,319
21297,70,-34.6467675251014,-58.5215190749471,2024-05-23 16:52:00,320
10913,20,-34.628526,-58.482509,2024-05-23 16:53:00,321
11898,70,-34.6201392393391,-58.4926187205228,2024-05-23 17:01:00,322
853,70,-34.6279983520508,-58.4852828979492,2024-05-23 17:01:00,323
7985,70,-34.624405730116,-58.4650399613123,2024-05-23 17:01:00,324
140,70,-34.6071341575583,-58.4830743187191,2024-05-23 17:01:00,325
16937,70,-34.6235844658253,-58.4672436952602,2024-05-23 17:01:00,326
827,70,-34.5973249401877,-58.4880490918538,2024-05-23 17:01:00,327
13396,70,-34.603477294894,-58.4882972066978,2024-05-23 17:01:00,328
21062,70,-34.6249814918895,-58.4937754226963,2024-05-23 17:01:00,329
300,70,-34.6063894020877,-58.4759215591773,2024-05-23 17:01:00,330
25854,70,-34.5973184503864,-58.4881404387926,2024-05-23 17:01:00,331
619,70,-34.6031887551921,-58.4883306893623,2024-05-23 17:01:00,332
11662,70,-34.6147159705538,-58.4786853121721,2024-05-23 17:01:00,333
7668,70,-34.6139172681068,-58.4690690367665,2024-05-23 17:01:00,334
24764,70,-34.5990639990843,-58.4854078733663,2024-05-23 17:01:00,335
18181,70,-34.5983218832392,-58.4854900041605,2024-05-23 17:01:00,336
23180,70,-34.6108072110915,-58.4988231967368,2024-05-23 17:01:00,337
