index,cliente,latitud,longitud,fin_visita,order
762,70,-34.6248054504394,-58.5113372802734,2024-05-30 16:05:00,245
145,70,-34.6448638851015,-58.5203972670605,2024-05-30 16:05:00,246
18386,70,-34.6432460699655,-58.5021385405113,2024-05-30 16:05:00,247
117,70,-34.6430956498353,-58.5042755237086,2024-05-30 16:05:00,248
18476,70,-34.6396288799065,-58.4961391350391,2024-05-30 16:05:00,249
259,70,-34.6318441,-58.501922,2024-05-30 16:05:00,250
405,70,-34.6222733027959,-58.4951970404329,2024-05-30 16:05:00,251
1530,20,-34.595933,-58.393406,2024-05-30 16:06:12,252
23058,70,-34.6172675881284,-58.4681433253814,2024-05-30 16:06:16,253
1225,20,-34.456993,-58.564996,2024-05-30 16:09:37,254
26249,20,-34.6206280934512,-58.4419257661944,2024-05-30 16:11:00,255
26904,20,-34.6522216443605,-58.4039932992983,2024-05-30 16:11:00,256
7669,70,-34.6139172681068,-58.4690690367665,2024-05-30 16:13:16,257
12148,20,-34.6445524977911,-58.5204430343526,2024-05-30 16:13:28,258
12104,20,-34.4588328,-58.5684521,2024-05-30 16:20:33,259
14838,20,-34.4604246152811,-58.5731103718161,2024-05-30 16:22:33,260
1036,70,-34.6186408505202,-58.4755612869882,2024-05-30 16:23:17,261
22820,20,-34.6392399085234,-58.5166913270389,2024-05-30 16:26:51,262
26914,20,-34.6168080708202,-58.3932788304705,2024-05-30 16:29:12,263
24114,20,-34.5961741412557,-58.4839344460609,2024-05-30 16:31:22,264
290,70,-34.6153068542481,-58.4755554199219,2024-05-30 16:33:16,265
21837,20,-34.6390774663382,-58.5102651124873,2024-05-30 16:34:04,266
22349,20,-34.569668991351,-58.4601654263483,2024-05-30 16:34:23,267
26342,20,-34.5706859930272,-58.4643975509356,2024-05-30 16:36:23,268
23734,20,-34.6376596471053,-58.5005175609492,2024-05-30 16:38:11,269
26102,20,-34.66107337048,-58.4839302004182,2024-05-30 16:39:00,270
1857,20,-34.6499172769872,-58.4832972291614,2024-05-30 16:39:00,271
26176,20,-34.6429902262349,-58.4911807222856,2024-05-30 16:39:00,272
26175,20,-34.6429902262349,-58.4911807222856,2024-05-30 16:39:00,273
24071,70,-34.6317938072801,-58.4833423932964,2024-05-30 16:45:00,274
6574,20,-34.5645046713379,-58.4657922852661,2024-05-30 16:51:23,275
16869,20,-34.5640436,-58.4622414,2024-05-30 16:53:23,276
16846,20,-34.599064,-58.485408,2024-05-30 16:56:10,277
16531,20,-34.5624832165041,-58.4620603362954,2024-05-30 17:00:23,278
10825,20,-34.601974,-58.404194,2024-05-30 17:02:11,279
